598,928,986,254,951,217,511,656,407,217,407,21,396,656,217,484,643,185,984,259
516,424,189,326,21,21,326,984,484,484,960,189,512,110,21,573,573,504,984,318
765,298,165,484,407,424,951,189,21,789,484,516,984,21,298,512,21,515,326,79
951,516,844,446,86,769,21,484,573,87,3,791,601,87,561,825,513,984,511,298
512,601,932,993,427,298,791,255,21,984,17,21,301,928,584,844,189,962,791,984
984,21,110,856,292,716,142,679,484,984,576,424,512,396,580,326,27,292,676,512
573,676,901,21,731,484,373,21,512,515,21,396,928,53,21,984,767,511,415,866
791,189,834,515,292,676,907,791,21,326,484,915,484,791,142,21,516,573,573,516
573,202,142,918,517,984,791,21,656,484,748,484,984,189,242,424,512,189,599,484
21,21,124,984,516,552,326,632,189,341,709,290,21,619,420,422,512,702,189,415
21,21,626,964,993,918,21,715,407,951,21,918,265,484,484,601,484,488,484,573
21,21,844,373,516,189,484,984,216,951,484,484,484,555,255,791,601,856,984,189
424,484,914,21,844,21,298,765,762,326,424,844,764,676,53,573,636,306,318,152
618,789,632,217,202,21,791,255,512,87,856,512,516,484,987,713,797,407,110,396
592,21,984,512,844,425,573,217,484,984,758,21,110,928,573,484,422,994,791,484
551,619,189,555,964,813,21,648,346,854,516,844,984,601,424,326,309,21,984,104
951,601,791,573,424,914,791,504,791,396,207,418,511,301,844,44,189,984,932,2
373,928,512,516,511,484,104,964,960,791,702,993,987,104,504,984,762,292,21,958
950,512,791,600,984,561,484,914,154,484,963,476,791,504,636,326,656,960,573,515
165,928,844,424,918,141,484,21,918,544,484,515,114,484,961,406,303,189,601,484
512,21,344,110,903,986,968,984,791,516,512,181,484,217,217,844,791,920,154,484
544,21,484,298,118,601,217,189,484,2,301,292,598,791,691,704,854,189,326,932
142,301,656,316,422,984,298,984,484,601,484,364,852,598,511,21,87,484,299,21
918,928,53,512,932,883,515,328,844,396,24,396,484,573,632,791,298,44,987,516
420,424,484,791,396,154,217,765,516,516,298,512,984,918,987,484,961,21,791,791
515,573,79,512,791,961,512,512,932,53,237,961,984,21,515,484,364,21,21,516
53,21,110,791,512,652,424,691,189,257,154,517,484,516,484,544,298,993,118,299
984,484,932,484,298,446,987,484,330,962,774,915,484,127,791,484,446,984,791,522
928,176,573,914,154,676,516,561,484,484,21,265,484,101,21,396,984,72,791,669
154,118,573,242,791,2,951,484,656,110,21,512,189,484,987,424,424,984,407,424
511,189,576,573,424,101,512,544,984,781,326,961,615,154,629,516,21,72,512,731
987,484,684,21,341,484,484,324,932,984,932,984,21,255,154,21,573,424,476,849
484,424,918,573,932,791,791,713,14,791,484,415,473,416,2,512,484,908,396,797
573,789,984,676,656,961,984,668,330,36,189,709,919,962,74,584,21,484,484,424
984,396,484,326,377,928,484,739,21,436,680,189,951,21,21,750,993,652,484,515
702,415,484,601,513,844,309,21,516,797,576,712,292,951,298,619,932,44,154,601
961,984,152,658,515,791,852,516,852,225,326,484,87,555,511,512,601,21,652,656
555,114,791,778,396,104,932,436,555,852,154,516,484,373,515,407,484,962,555,984
932,298,852,484,353,522,484,21,21,189,217,87,114,573,512,189,484,484,618,962
484,669,573,951,928,21,484,516,516,484,189,573,951,217,21,515,592,484,396,189
544,709,484,791,679,632,44,918,79,515,516,603,573,990,573,918,105,984,960,154
484,791,573,484,626,484,21,573,789,844,785,901,555,21,791,424,987,928,292,476
932,484,127,364,307,484,984,83,298,791,947,515,632,791,217,791,512,326,791,381
484,993,573,576,516,962,87,446,515,446,516,834,512,516,292,791,407,758,484,257
516,554,984,584,124,424,484,987,844,142,511,656,2,516,255,656,791,762,632,951
484,780,555,984,932,254,484,984,87,601,601,484,515,516,512,791,484,789,21,484
908,396,326,951,21,791,984,427,189,702,555,656,987,2,27,189,21,511,984,416
298,396,328,834,484,791,516,416,573,676,516,791,74,298,202,407,513,484,716,791
362,189,516,87,515,555,446,217,791,516,396,21,17,189,951,424,573,852,484,484
484,189,8,984,484,154,984,189,834,856,154,909,512,516,118,986,118,21,484,512
555,676,396,716,422,301,484,573,38,26,446,343,484,407,951,327,516,648,852,504
484,407,53,373,472,601,424,962,484,189,292,918,245,573,918,21,791,301,512,709
328,791,154,424,791,984,265,511,189,484,791,928,702,951,511,951,484,21,709,928
789,573,396,446,984,396,484,362,424,544,592,21,984,217,202,298,87,422,154,2
154,154,603,50,986,984,844,44,852,53,436,844,844,573,511,265,984,530,396,573
